sweep_value,run_count,throughput_records_per_sec_mean,throughput_records_per_sec_min,throughput_records_per_sec_max,throughput_mb_per_sec_mean,throughput_mb_per_sec_min,throughput_mb_per_sec_max,avg_latency_ms_mean,avg_latency_ms_min,avg_latency_ms_max,max_latency_ms_mean,max_latency_ms_min,max_latency_ms_max
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-compnone-trial2,1,999.559519,999.559519,999.559519,0.96,0.96,0.96,22.8883036,22.8883036,22.8883036,4732,4732.0,4732.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-compnone-trial3,1,999.634771,999.634771,999.634771,0.96,0.96,0.96,28.379911599999996,28.379911599999996,28.379911599999996,4693,4693.0,4693.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod1-complz4-trial1,1,9958.175662,9958.175662,9958.175662,9.72,9.72,9.72,6.24,6.24,6.24,562,562.0,562.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod1-complz4-trial2,1,9957.184108,9957.184108,9957.184108,9.72,9.72,9.72,6.27,6.27,6.27,686,686.0,686.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod1-complz4-trial3,1,9918.666931,9918.666931,9918.666931,9.69,9.69,9.69,7.63,7.63,7.63,660,660.0,660.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod1-compnone-trial1,1,9937.394415,9937.394415,9937.394415,9.7,9.7,9.7,6.51,6.51,6.51,624,624.0,624.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod1-compnone-trial2,1,9935.419771,9935.419771,9935.419771,9.7,9.7,9.7,7.11,7.11,7.11,597,597.0,597.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod1-compnone-trial3,1,9974.067425,9974.067425,9974.067425,9.74,9.74,9.74,5.65,5.65,5.65,687,687.0,687.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod12-complz4-trial1,1,7574.0141619999995,7574.0141619999995,7574.0141619999995,7.41,7.41,7.41,279.9787465,279.9787465,279.9787465,11096,11096.0,11096.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod12-complz4-trial2,1,7265.493611,7265.493611,7265.493611,7.1,7.1,7.1,325.6068618,325.6068618,325.6068618,10697,10697.0,10697.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod12-complz4-trial3,1,7280.272413000001,7280.272413000001,7280.272413000001,7.13,7.13,7.13,304.8217004,304.8217004,304.8217004,10881,10881.0,10881.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod12-compnone-trial1,1,7987.446476,7987.446476,7987.446476,7.79,7.79,7.79,271.010454,271.010454,271.010454,11469,11469.0,11469.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod12-compnone-trial2,1,7889.42626,7889.42626,7889.42626,7.72,7.72,7.72,319.01411670000005,319.01411670000005,319.01411670000005,11102,11102.0,11102.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod12-compnone-trial3,1,7937.528811,7937.528811,7937.528811,7.74,7.74,7.74,283.2869655,283.2869655,283.2869655,10362,10362.0,10362.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod6-complz4-trial1,1,9802.699273,9802.699273,9802.699273,9.58,9.58,9.58,89.94005609999999,89.94005609999999,89.94005609999999,5235,5235.0,5235.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps10000-batch131072-acks1-prod6-complz4-trial2,1,9832.005874999999,9832.005874999999,9832.005874999999,9.600000000000001,9.600000000000001,9.600000000000001,108.4226551,108.4226551,108.4226551,5361,5361.0,5361.0
