"run_id","security_mode","baseline_name","sweep_name","sweep_variable","sweep_value","trial_index","trial_count","broker_count","partitions","replication_factor","min_insync_replicas","num_records","record_size_bytes","throughput_limit_records_per_sec","producer_count","consumer_count","batch_size","linger_ms","acks","compression_type","records_sent","throughput_records_per_sec","throughput_mb_per_sec","avg_latency_ms","max_latency_ms"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial2","2","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","lz4","100000","999.746256","0.96","18.5616815","3452.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-complz4-trial3","3","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","lz4","100000","999.687804","0.96","20.6750048","3493.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial1","1","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","none","100000","999.72117","0.96","16.4450188","3476.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial2","2","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","none","100000","999.713047","0.96","17.1766535","3329.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acks1-prod6-compnone-trial3","3","3","5","6","3","3","100000","1024","1000","6","1","16384","5","1","none","100000","999.702874","0.96","17.961698900000002","3332.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial1","1","3","5","6","3","3","100000","1024","1000","1","1","16384","5","all","lz4","100000","999.760058","0.98","4.89","543.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial2","2","3","5","6","3","3","100000","1024","1000","1","1","16384","5","all","lz4","100000","999.750062","0.98","4.8","530.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-complz4-trial3","3","3","5","6","3","3","100000","1024","1000","1","1","16384","5","all","lz4","100000","999.770053","0.98","4.89","562.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial1","1","3","5","6","3","3","100000","1024","1000","1","1","16384","5","all","none","100000","999.750062","0.98","4.83","518.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial2","2","3","5","6","3","3","100000","1024","1000","1","1","16384","5","all","none","100000","999.680102","0.98","4.72","503.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-compnone-trial3","3","3","5","6","3","3","100000","1024","1000","1","1","16384","5","all","none","100000","999.760058","0.98","4.8","509.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial1","1","3","5","6","3","3","100000","1024","1000","12","1","16384","5","all","lz4","100000","999.404576","0.96","81.5450068","7548.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial2","2","3","5","6","3","3","100000","1024","1000","12","1","16384","5","all","lz4","100000","999.601324","0.96","77.1717379","7280.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial3","3","3","5","6","3","3","100000","1024","1000","12","1","16384","5","all","lz4","100000","999.463556","0.96","80.2743605","7382.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial1","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial1","1","3","5","6","3","3","100000","1024","1000","12","1","16384","5","all","none","100000","998.593918","0.96","74.7689925","7240.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial2","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial2","2","3","5","6","3","3","100000","1024","1000","12","1","16384","5","all","none","100000","998.3453959999999","0.96","71.4141639","7161.0"
"plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial3","plaintext","plaintext-requested-full-factorial","plaintext-requested-full-factorial","factorial_config","plaintext-requested-full-factorial-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial3","3","3","5","6","3","3","100000","1024","1000","12","1","16384","5","all","none","100000","998.434053","0.96","74.1147942","7103.0"
