min_insync_replicas,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
4,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,432,1.5781779205463322,0.6608624999757391,1.8625051844672644,0.08955747697334974,0.6225680144869206,1.5494249106535474,8.30237881636537
4,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,432,1.5781779205463327,0.6608624999757373,1.8625051844672638,0.08955747697334122,0.6225680144869178,1.5494249106535518,8.302378816365371
4,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,432,1.6577038387038332,0.7859555634555728,1.7972633244225364,0.13351065587306243,0.7400065219680174,1.607377219932,8.384600055918781
4,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,432,1.6577038387038332,0.7859555634555706,1.7972633244225364,0.133510655873066,0.7400065219680105,1.6073772199320036,8.384600055918778
4,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,432,706.3995052884919,312.1260355221988,960.8940195859136,-60.45972589296667,86.30634957091897,922.5101530270517,6743.175675675676
4,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,432,542.8708292761944,99.37216221361447,918.8099082669561,-57.69290663212716,78.76442720190647,547.7924462383825,6876.706349206352
4,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,432,185.3124543582329,95.37816846006439,207.17620626882075,-61.45949202817948,55.6341372409005,228.50787375357976,895.8535718516778
4,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,432,79.3546461174692,82.79676651304389,24.903983550830556,-49.373720295340355,69.89156911629112,93.8428220415305,163.3500817948119
4,tls,max_latency_ms,Maximum latency ms,432,77.285741643999,79.18343465311591,24.04786630960857,-46.944858420268254,68.64078369067758,88.9554754562426,160.9261939218524
4,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,432,792.9087419794998,481.60727811192476,862.9038846978643,-3.3883382089806444,171.44656358758854,1154.9769016282503,5372.560011499209
4,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,432,975.2021047927416,572.0330089118199,1107.2137764884603,-3.3883382089806444,182.71055988544742,1347.3978437607989,8079.169825625473
4,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,432,10.383197979871342,5.0160051752347545,13.614241216251946,-2.8623508266496835,0.0010010408758365553,14.91455327404581,53.795224831691904
4,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,432,10.568955305876758,5.687270716860921,13.505838749112046,-2.8623508266496835,-0.002249334530808408,16.04738224560038,47.89265851524308
4,tls,throughput_mb_per_sec,Throughput MB/s,432,10.479240040887724,5.5711528031493245,13.491252962502303,-2.847633136094673,0.0,15.303066827787223,48.03664921465968
4,tls,throughput_records_per_sec,Throughput records/s,432,10.476371936507267,5.577249307960052,13.487993218734411,-2.8623508266496835,-0.002160811705216193,15.302388729436947,48.285974718139286
