broker_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
3,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,432,7383.788078703701,7156.275,5907.935316930132,117.99999999999798,1159.6875,13677.724999999997,19114.5
5,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,1296,8410.746874999997,7896.749999999996,6805.208631668551,127.59999999999778,1297.4999999999995,15054.999999999996,31667.5
5,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,1296,3371.3773533950566,1720.0499999999995,3464.216423706242,80.99999999999872,693.0499999999995,5499.0124999999825,14061.25
5,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,1296,8328.391898148146,7846.450000000001,6713.562006207154,111.099999999998,1257.1999999999998,15157.225000000006,22227.049999999996
3,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,432,9758.571712962965,9042.695,7216.839798876321,893.9200000000003,1394.0974999999999,18140.755000000005,22023.999999999985
3,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,432,4687.704699074074,4408.844999999999,3383.622233806902,428.4400000000001,759.5400000000001,7491.435,12364.57
3,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,432,8437.04162037037,7960.92,6218.728632049138,762.9000000000002,1200.415,15558.909999999996,20248.299999999996
5,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,1296,9805.401219135803,9244.060000000001,7298.262334461209,851.6400000000003,1386.12,18065.760000000002,32155.5
5,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,1296,5249.547908950617,4832.789999999999,3887.290447878485,459.34000000000015,726.92,9408.1525,15122.85
5,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,1296,9548.701929012344,9033.159999999996,7112.702660858492,788.6200000000002,1345.3850000000002,17409.535,23625.090000000004
3,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,432,77.48704986481061,86.04715714285715,23.282058766607964,15.864090909090928,71.0669788011696,95.06870930232559,97.394043715847
3,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,432,75.52936641482854,83.2120763022744,21.779363530167142,1.892249735769289,63.59413970588235,94.36440705975673,96.58849315068493
3,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,432,75.80090154274336,84.34084905660376,24.374335181555452,1.408793975693435,68.12147252747255,94.54177914412199,97.2155
5,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1296,75.18469592762314,83.98598297213623,23.839403243699028,4.120404290873807,65.24321890756303,94.149857147469,96.944554973822
5,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1295,77.44053597858523,82.43055555555556,19.909295460151988,16.48716802168022,71.68430237366636,94.25060291060292,97.02861111111112
5,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,1296,77.93827298968043,86.8363017429194,21.74232753651623,7.1586453786134125,69.9946875,94.46079496261316,97.14123711340208
3,mtls,broker_cpu_percent_mean,Broker CPU mean %,432,21.61733418145518,17.975305168220657,13.532506974655805,3.2207672442534174,9.32355362293685,32.91670701134549,51.5145338719594
3,plaintext,broker_cpu_percent_mean,Broker CPU mean %,430,24.226626926114918,25.18424178199536,6.7924258433842875,8.56043141109655,19.480190180447412,28.818271502022768,39.66881506003224
3,tls,broker_cpu_percent_mean,Broker CPU mean %,431,21.984354364742387,18.33382766365579,14.14595091391386,3.2852559333624813,9.129957352382334,33.916567084017515,53.106661975181055
5,mtls,broker_cpu_percent_mean,Broker CPU mean %,1296,22.58913535480425,19.548386067535976,14.140353819326704,3.958148250790945,10.367219087808746,32.550390913057626,58.35175110594206
5,plaintext,broker_cpu_percent_mean,Broker CPU mean %,1296,30.191825477680684,29.27281685709609,10.120163697418773,13.372203296096,21.748418441644933,38.06918185542092,56.61478827598951
5,tls,broker_cpu_percent_mean,Broker CPU mean %,1296,25.94587095501292,22.651527629874074,13.60373067289606,6.918198110989593,14.08790880184072,35.524307408498714,59.82172628523237
3,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,432,49.56211419753087,47.629999999999995,21.093317672120715,12.1,30.09,68.60166666666666,92.07333333333332
3,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,430,49.56465891472868,50.00333333333333,12.34072244502145,23.926666666666662,40.05666666666667,59.95583333333334,84.33999999999999
3,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,431,49.496709203402936,47.556666666666665,22.10519228926529,11.28,28.406666666666666,70.625,91.62
5,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,1296,50.71856018518518,46.995999999999995,21.59467500929755,10.088,31.007,70.35600000000001,97.168
5,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,1296,54.83575,52.205,16.58357306729285,18.358,41.5865,66.6895,95.458
5,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,1296,53.40627932098766,50.281,19.70687601343797,16.392,35.2845,70.8505,97.842
3,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,432,20.339584537525404,17.50430168946098,9.678197911916644,9.965652173913044,11.814311926605512,25.78160317505076,49.515300546448096
3,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,432,17.812189409825876,15.480097402597401,7.139299498121182,9.14377170466556,11.529796319272124,22.10505340383807,37.07669421487603
3,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,432,20.059216302570913,17.082338163422797,9.718067809930497,8.918236029540036,11.778509174311928,25.40650086553495,49.91972375690607
5,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1296,18.581734405749835,15.684706257982121,9.799991195045829,7.583043478260869,10.431249999999999,24.049341967213113,49.64408602150537
5,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1295,17.87489806628228,16.23298076923077,7.560104856846627,8.925108401084012,11.340290322580644,22.58956588881263,39.27390804597701
5,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,1296,19.810961740169546,16.839172387490464,9.770200208558398,8.407913931186195,11.382644074675323,25.2101017013851,50.044405940594054
3,mtls,broker_memory_used_percent_mean,Broker memory %,432,23.043604072524293,23.191101785629606,1.0539538948453175,12.942007749258208,23.0176370586969,23.459103901567353,24.017914299490133
3,plaintext,broker_memory_used_percent_mean,Broker memory %,430,22.766736585224752,23.005552218895684,1.0333309734817924,12.832862211760968,22.95158600978466,23.102412717524455,23.485828221548143
3,tls,broker_memory_used_percent_mean,Broker memory %,431,23.128158531027992,23.327667442113334,1.0932908299510096,12.98857980951324,23.118744114761697,23.489795034552408,24.22361967975596
5,mtls,broker_memory_used_percent_mean,Broker memory %,1296,23.273330285681105,23.510439352959782,0.9287966930840766,12.408526294990724,23.085603053389463,23.743648800499717,24.93820518145855
5,plaintext,broker_memory_used_percent_mean,Broker memory %,1296,23.623473587247215,23.574020286031338,0.35803213167067194,22.91853881730705,23.315902329166022,23.945626961254593,24.83018833071431
5,tls,broker_memory_used_percent_mean,Broker memory %,1296,23.37234571776005,23.75870126627273,1.1051278042696162,12.689896058735837,23.29887056036306,23.895767896992762,25.11084886931466
3,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,432,20568174.696759257,21006717.0,14204007.201513339,649429.0,4934379.0,36311111.25,40101615.0
3,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,432,16860102.08564815,16974194.0,11658367.688576374,325067.0,3408189.25,29737366.5,32577526.0
3,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,432,20502945.298611112,21519935.5,14087671.619467556,589965.0,4917265.5,36216496.25,39634123.0
5,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1296,22948918.723765433,25983739.0,15505842.125888547,645808.0,5097553.0,38679716.5,85183486.0
5,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1295,18430734.28030888,21520523.0,12599254.92191074,360361.0,3334093.5,31766307.0,37888000.0
5,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,1296,22483617.97299383,26052770.5,15399394.366071321,614333.0,5003761.75,38408156.75,59602216.0
3,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,432,3860813801.486111,1069433196.5,4639969621.961501,104877612.0,139145864.0,10394095491.75,10422703994.0
3,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,432,3838776406.736111,1054472828.0,4622165696.1445675,104343590.0,124065564.0,10348669217.5,10367515724.0
3,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,432,3861656847.4189816,1069988289.5,4640767242.597098,104768322.0,140042837.0,10395152857.5,10430845184.0
5,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1296,3872581748.226852,1076806631.5,4662204720.345554,104995989.0,139952826.5,10398517074.5,20803907662.0
5,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1295,3843369697.7544403,1059620853.0,4624455859.825731,104373197.0,124524818.5,10351838813.5,10388416306.0
5,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,1296,3864165659.183642,1074875071.5,4642395686.94901,104878264.0,137425761.0,10398675041.0,10440344176.0
3,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,432,3841011063.1064816,1071334544.6666666,4613780194.274356,104870547.0,143629215.1666667,10405005543.5,10426048931.666666
3,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,430,3812164182.351938,1057898617.3333333,4577086775.403121,104348674.0,132145305.58333333,10343498284.25,10349151199.666666
3,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,431,3848833141.685614,1071303426.3333334,4618329453.133417,104826888.0,144926144.83333334,10404543858.666668,10424855738.0
5,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1296,3348350606.036265,1044373657.6,4189023363.51299,63100372.8,114146223.60000001,6246743306.8,20865416273.0
5,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1296,3318865710.943827,1037408900.1,4143214062.161553,62721307.8,111316695.30000001,6208207860.95,10359020931.4
5,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,1296,3343258861.7483025,1043498906.5999999,4169969382.727578,63015116.4,114067919.35,6246438481.4,10419640017.0
3,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,432,2572138759.411266,725793645.6666667,3083966074.773817,70472188.66666667,108603951.33333334,6975682962.166666,6999729989.333333
3,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,430,2542807978.12093,715911413.3333334,3050023469.2834787,69913113.33333333,99195057.41666667,6921881940.75,6931924948.333333
3,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,431,2577444735.834107,725701260.3333334,3086677317.242461,70433086.66666667,109748125.33333334,6974570818.833334,6998394561.666667
5,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1296,2588565335.170216,839250580.3,3313543449.251391,42488890.4,93840483.75,4192042013.3,16778933534.6
5,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1296,2562644997.785108,833133941.4000001,3272559819.2368655,42081991.0,91345133.55000001,4157122982.8,8316650711.2
5,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,1296,2584974597.2526236,839095216.0,3298520119.302354,42380876.4,93771630.1,4191225769.7,8372580494.8
3,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,432,11523033189.319445,3214003634.0,13841340582.823067,314611641.0,430887645.5,31215016630.5,31278146795.0
3,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,430,11436492547.055815,3173695852.0,13731260326.209364,313046022.0,396435916.75,31030494852.75,31047453599.0
3,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,431,11522343896.916473,3213910279.0,13829697125.208704,314480664.0,434778434.5,31213545976.5,31274567214.0
5,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1296,16741753030.181328,5221868288.0,20945116817.56495,315501864.0,570731118.0,31233716534.0,104327081365.0
5,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1296,16591922690.987654,5181530192.5,20717574840.298664,313606539.0,556583476.5,31041039304.75,51795104657.0
5,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1296,16716294308.741512,5217494533.0,20849846913.63789,315075582.0,570339596.75,31232192407.0,52098200085.0
3,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,432,7716416278.233796,2177380937.0,9251898224.321451,211416566.0,325811854.0,20927048886.5,20999189968.0
3,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,430,7628423934.362791,2147734240.0,9150070407.850437,209739340.0,297585172.25,20765645822.25,20795774845.0
3,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,431,7716168396.262181,2177103781.0,9243092325.229729,211299260.0,329244376.0,20923712456.5,20995183685.0
5,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1296,12942826675.85108,4196252901.5,16567717246.25695,212444452.0,469202418.75,20960210066.5,83894667673.0
5,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1296,12810820097.257715,4158793194.5,16364147640.458334,210409955.0,456725667.75,20785614914.0,41583253556.0
5,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1296,12924872986.263117,4195476080.0,16492600596.511768,211904382.0,468858150.5,20956128848.5,41862902474.0
3,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,432,578.3888888888889,0.0,11850.17706058791,0.0,0.0,0.0,246584.0
3,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,432,68.13194444444444,0.0,1185.984996039749,0.0,0.0,0.0,24609.0
3,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,432,51.851851851851855,0.0,626.8807969683565,0.0,0.0,0.0,11552.0
5,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,1296,2.919753086419753,0.0,53.368677917436585,0.0,0.0,0.0,1288.0
