min_insync_replicas,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
3,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,1296,8433.883046296296,8119.58,6867.517406952705,30.35800000000001,395.09650000000005,15727.662500000017,21524.352000000003
4,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,432,9550.457553240742,9404.550000000001,7799.550931151178,39.26000000000001,456.43650000000025,18397.68,32155.5
4,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,432,4516.9009027777765,3416.6775,4429.258129839395,6.194000000000001,122.23425,9669.3125,13154.794999999998
4,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,432,9245.794534722223,8997.96,7406.754821992724,47.63200000000002,491.90625,17866.045,21081.478000000003
3,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,1296,8229.431751543207,7724.799999999996,6615.716463663297,127.59999999999778,1280.1125,14968.200000000003,20872.45
3,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,1296,3248.693287037029,1639.0,3302.705805058894,80.99999999999872,658.4124999999999,5202.0,13412.5
3,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,1296,7948.545447530862,7497.15,6421.938790972296,111.099999999998,1176.8375,14486.9,22227.049999999996
4,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,432,8769.298379629627,8044.999999999998,7115.120314316298,130.19999999999786,1393.175,15273.574999999999,31667.5
4,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,432,3572.393749999994,1833.3749999999984,3635.560853743032,91.09999999999864,722.7,5724.0,14061.25
4,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,432,8523.327430555553,8038.35,6842.293268589508,139.09999999999758,1300.2124999999999,15604.9,21065.6
3,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,1296,9653.651311728394,9066.505000000001,7154.1120444211065,868.0400000000003,1349.6625,17965.177499999998,26398.6
3,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,1296,5002.11025462963,4739.75,3687.330040214076,428.4400000000001,710.0,9078.4375,14267.590000000002
3,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,1296,9086.365408950618,8482.65,6781.208455288816,762.9000000000002,1262.0324999999998,16234.6325,23625.090000000004
4,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,432,10213.821435185184,9683.755000000001,7622.271340268162,851.6400000000003,1471.2875,18938.615000000005,32155.5
