trial_index,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
2,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,8,3195018122.45,3194452338.3,3126128112.521229,68844304.2,68905806.25,6320799136.4,6322394153.4
3,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,8,3194613776.775,3193771512.6,3125612720.092439,68916588.6,69035981.8,6320275111.5,6321718698.4
3,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,8,3169439824.025,3169150748.0,3102016657.6529055,67348174.0,67456503.80000001,6271231905.5,6272109751.8
3,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,8,3195294482.175,3194406551.2999997,3126405574.607212,68830267.0,68909763.15,6320185238.3,6325936740.8
1,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,8,2.0,0.0,5.291502622129181,0.0,0.0,0.0,16.0
2,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,8,40388.0,43556.0,7765.033419116752,27496.0,34888.0,45604.0,49024.0
1,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,8,32382.0,31220.0,3903.9851434143548,26904.0,29376.0,35866.0,38264.0
1,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,8,35007.0,30744.0,9591.745148824588,25408.0,28844.0,37672.0,56616.0
2,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,8,39717.0,35248.0,11729.291837105939,27304.0,32328.0,45332.0,64640.0
2,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,8,31559.0,30372.0,6377.837172584449,20424.0,28356.0,34946.0,40976.0
2,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,8,31042.0,29572.0,3925.852264158701,26576.0,28520.0,32502.0,39152.0
3,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,8,35989.0,32536.0,8118.458905482001,28520.0,28572.0,43658.0,49688.0
3,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,8,30207.0,28308.0,6874.392409515186,23624.0,25546.0,31296.0,46272.0
3,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,8,35266.0,29712.0,12253.53418406298,26512.0,27542.0,35904.0,64920.0
1,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,8,62752.8,7294.4,146683.03862028493,0.0,0.0,18373.2,450251.2
1,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,8,96166.00000000001,9325.6,230154.55437527195,0.0,69.6,22172.0,704526.4
1,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,8,160287.6,10869.6,398319.7153152226,0.0,163.2,23122.4,1213780.8
2,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,8,19573.6,7476.8,31943.564334619896,0.0,32.400000000000006,18392.8,100676.8
2,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,8,25953.4,9052.8,44274.634243548535,0.0,2.4000000000000004,24644.4,139705.6
2,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,8,65054.0,12706.400000000001,144909.45223055672,0.0,6.0,23496.8,447430.4
3,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,8,23043.4,8367.2,41463.22225346216,0.0,0.0,18264.8,130515.2
3,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,8,18909.8,12307.2,24476.896508340265,0.0,2.4000000000000004,25330.0,75891.2
3,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,8,13153.800000000001,11748.0,12941.093578210459,0.0,248.8,26474.4,27926.4
1,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,8,6106079.8,6036944.8,5934781.80587748,164228.8,173804.0,12085269.200000001,12091417.6
1,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,8,6104245.0,6047436.8,5939857.839736567,162211.2,164549.2,12080974.399999999,12085529.6
1,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,8,7630774.2,6122537.600000001,8328883.484215442,164374.4,167173.59999999998,12078144.0,24146040.0
2,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,8,6130049.199999999,6055324.0,5955606.893302143,160848.0,170892.4,12089813.6,12248601.6
2,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,8,6124113.0,6124244.8,5958538.9163334165,163180.8,166026.8,12081939.6,12085912.0
2,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,8,6117690.0,6108057.6,5953961.433597729,162660.8,163665.6,12077475.2,12079988.8
3,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,8,6137450.200000001,6154632.8,5952423.56238594,165958.4,177205.6,12087678.8,12097921.6
3,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,8,6123874.6,6124248.0,5958877.7224477,162155.2,165895.6,12081644.4,12086236.8
3,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,8,6119716.399999999,6020534.4,5955856.701428966,162507.2,163996.4,12077116.8,12269702.4
