replication_factor,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
5,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,1.8241317408128097,0.7826031472034651,4.090541001434433,-18.428654653402106,0.7369449855949934,1.5727492196695518,102.34058124281191
5,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,739.8676231813828,294.20999724183366,1071.5186597236295,-60.45972589296667,85.29439969313216,970.4603307017878,9309.775449101699
5,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,569.3845009728797,107.64762074689747,928.0295562831333,-57.69290663212716,76.8101051936734,605.7588700927873,6876.706349206352
5,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,189.6199607871531,97.61112742910012,209.76848619542338,-61.45949202817948,59.11563757272523,249.51133770185325,914.8279413546608
5,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,79.27717480851041,81.16798502604676,25.467396861330165,-49.373720295340355,66.57235394038895,94.89605464424845,163.3500817948119
5,tls,max_latency_ms,Maximum latency ms,864,77.35245660739619,77.7845185045694,24.84442118575088,-46.944858420268254,65.53756405889777,90.92878303088439,162.12361331220285
5,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,795.2607073903733,480.88900458533584,865.8189116464487,-3.3883382089806444,174.25225583464373,1160.7065083207326,5457.063369397219
5,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,967.370300410458,568.0482215303106,1089.8617978648826,-3.3883382089806444,192.1911880409127,1335.5838048557566,8079.169825625473
5,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,10.38610792323749,5.281791978939739,13.47814356435003,-5.721196625941995,0.003004737368706774,15.236579728907016,53.795224831691904
5,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,10.647166429750142,5.733305933929818,13.506155151605487,-5.721196625941995,-0.0029989916939125636,16.266902888731785,47.89265851524308
5,tls,throughput_mb_per_sec,Throughput MB/s,864,10.529886734956653,5.634389543810115,13.454276266996755,-5.718618000649844,0.0,15.813739991478139,48.03664921465968
5,tls,throughput_records_per_sec,Throughput records/s,864,10.528569954193935,5.633053854033104,13.451054222849715,-5.721196625941995,-0.0010004015859921777,15.804265802793562,48.285974718139286
