producer_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
12,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,1197.7949479166666,164.25,2200.1861515273918,46.36,99.06,819.7850000000001,9582.54
12,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,4264.0167013888895,1983.585,3713.4878356249205,402.57,1348.9025000000001,7121.0275,13959.67
1,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,223.04150173611086,138.39499999999992,230.00152685191432,8.299999999999908,31.834999999999443,347.42625,1088.5649999999998
1,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,82.06737847222217,15.099999999999996,168.00666930892027,4.01,8.017499999999966,55.37749999999998,839.7099999999998
1,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,231.8873697916664,134.46999999999971,246.36711571637704,7.389999999999932,30.52999999999949,354.37499999999983,1278.3399999999997
6,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,5855.671267361108,5518.3775,2564.623283286821,1114.1899999999994,4210.22625,8467.506249999999,10118.1
6,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,1484.0431249999995,418.71749999999986,1851.6160358319078,29.299999999999997,217.9862500000003,2452.38125,5899.424999999999
6,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,5820.697465277775,5709.25249999999,2444.9596853246767,873.5449999999996,4113.707499999999,7954.3125,10102.45
12,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,13012.551137152772,12771.364999999898,4885.426126087961,2939.1499999999996,10040.9375,17605.3875,31667.5
12,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,5653.604435763871,6290.7975,3908.3703272369066,333.5599999999996,1263.988749999927,9413.8625,12560.27
12,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,13010.185824652774,13547.977499999997,4606.3304315633595,2116.315,10475.28,16943.999999999993,20172.654999999995
1,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,317.3033003472222,295.7505,197.55237322955722,39.26000000000001,184.51300000000006,399.5145000000001,1145.713
1,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,108.33305902777776,22.235999999999997,207.59118041240063,4.082,12.262000000000004,103.06475000000002,2097.729999999999
1,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,329.18608506944446,292.25,222.6826533790686,30.35800000000001,188.0730000000001,423.504,1443.0279999999998
6,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,8502.830899305556,8784.44,1371.8933945611432,2028.0800000000024,8116.287500000002,9298.9275,10585.76
6,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,2410.7807743055537,1744.3159999999991,2044.6268833397098,137.65,479.3427499999994,4692.657249999997,6236.3730000000005
6,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,8320.852758680556,8477.43,1031.1827666569645,1338.1000000000006,7743.627749999998,9038.0525,11004.755999999998
12,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,18021.376809027777,18246.93,2016.0540263154548,4466.0,17199.14,19112.5425,32155.5
12,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,9587.30540798611,9638.535,1141.9633866709846,7015.2699999999995,9152.3875,10117.415,13154.794999999998
12,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,17260.54391145833,17423.595,1741.8226880832935,3225.099999999996,16074.905000000002,18556.075000000008,21524.352000000003
1,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,792.3039062499987,799.7,533.6577291499148,127.59999999999778,218.0499999999971,1304.125,2282.0
