replication_factor,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
3,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1314.0518787835647,265.26915199999996,2557.613888806723,50.871152,126.20322300000001,999.740068,9980.03992
3,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1422.8850883645835,419.269925,2662.014369436272,54.142548,140.00257299999998,999.760058,9976.057462
3,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1307.342289960648,258.1879635,2551.6652712102855,50.233898,124.89170775,999.730073,9979.044008
5,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1273.1348719976852,241.922711,2514.4744492815535,48.559757,120.94678525,999.690096,9978.048294
5,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1353.750714476852,381.35467600000004,2562.700000118168,52.335732,122.5716695,999.710084,9974.067425
5,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1251.529118716435,248.944886,2482.6945419580006,46.943834,113.42416424999999,999.690096,9976.057462
3,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1518.1949768518518,394.09000000000003,2263.334510438196,6.28,112.475,1747.7475,11547.94
3,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,439.20026620370373,40.474999999999994,1220.3286562046355,2.34,12.5075,111.0625,8481.07
3,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1546.506400462963,370.135,2327.8372527189667,5.52,107.91250000000001,1805.1275,11036.32
5,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1706.865798611111,461.35,2508.506729334043,6.04,163.055,2081.205,11795.72
5,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,528.0758796296296,57.724999999999994,1437.3237944602743,3.6,17.275000000000002,145.29500000000002,9049.27
5,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1750.933020833333,452.55499999999995,2579.201197589884,5.88,133.86249999999998,2098.8275,11985.65
3,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,1953.2621296296295,498.155,2790.6792015874107,6.28,154.8,2594.11,12825.88
3,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,534.2791435185185,54.3,1347.955075308678,2.34,14.8875,180.76,9046.33
3,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,1938.7593055555556,474.6,2813.3019331920805,5.52,120.2675,2733.0725,12387.94
5,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2151.340763888889,574.865,3054.2905488935985,6.04,190.8625,2875.415,13905.85
5,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,648.4918634259259,85.75,1596.8255690523977,3.6,21.060000000000002,243.77,9582.54
5,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2200.8625694444445,593.6400000000001,3122.2101150757185,5.88,157.3625,3050.6499999999996,13959.67
3,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6039.287256944442,4621.627499999997,5831.45691583509,8.909999999999895,338.595,9735.756249999995,19676.5
3,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,2224.681903935179,378.9424999999997,3273.433307009876,4.01,37.20625,4050.662499999999,11781.044999999998
3,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,5912.093559027774,4549.524999999998,5730.418536898954,7.389999999999932,343.48375,9375.682499999999,19555.4
5,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6688.222013888886,5029.714999999998,6395.097667255467,8.299999999999908,371.70875000000007,10302.933749999997,31667.5
5,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,2588.4613888888844,604.3074999999999,3592.3407077749753,4.6299999999999955,49.829999999999956,5173.8375,12560.27
5,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6796.420214120368,5676.259999999995,6297.259653289241,7.879999999999919,361.145,10984.386249999989,20172.654999999995
3,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8564.700877314814,8483.73,7110.103453674698,44.262000000000015,369.35949999999997,16638.75,26126.86
3,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,3676.578097222222,787.781,4112.4921776090405,4.082,76.77099999999996,7942.1085,12332.37
3,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8152.224030092592,7923.8449999999975,6654.6901376247915,30.35800000000001,380.27324999999996,15396.62,20123.26
5,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,9329.639795138888,9176.8,7603.931115876085,39.26000000000001,431.50775,18060.8675,32155.5
5,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,4394.368063657406,2913.58749999998,4370.908746401528,6.194000000000001,119.92500000000004,9541.502500000002,13154.794999999998
5,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,9121.497806712963,8908.060000000007,7325.759683699737,35.09600000000001,478.80000000000007,17562.4575,21524.352000000003
3,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8153.5458912037,7696.024999999996,6561.988654783901,132.19999999999783,1276.6625,14902.8125,20476.35
3,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,3188.8957754629537,1558.375,3240.0091502941214,80.99999999999883,624.8125,5115.549999999899,12726.3
3,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,7764.269907407404,7352.25,6278.383597939774,111.099999999998,1165.7375,14148.3875,20097.8
5,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8575.250925925924,7944.724999999999,6922.767391177785,127.59999999999778,1351.8125,15166.024999999996,31667.5
5,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,3470.341030092587,1778.3999999999924,3531.6395695580923,80.99999999999872,732.025,5613.3125,14061.25
5,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8420.211979166663,7973.174999999999,6764.694753538944,130.2999999999978,1285.75,15340.8125,22227.049999999996
3,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9596.83693287037,8990.315,7129.100187178916,868.0400000000003,1340.2600000000002,17908.3875,26398.6
3,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,4869.312812499999,4643.67,3589.536691497754,428.4400000000001,687.03,8114.23,13631.31
3,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,8850.03724537037,8268.59,6581.764837814494,762.9000000000002,1214.695,16020.685,22437.109999999982
5,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9990.550752314814,9451.37,7418.732075401652,851.6400000000003,1423.56,18471.515,32155.5
5,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,5348.861400462963,4907.144999999999,3938.2240398778144,467.96000000000015,795.5725,9630.095000000001,15122.85
5,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9691.536458333332,9172.195,7211.923010535257,816.0800000000003,1361.2174999999995,17877.6125,23625.090000000004
3,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,75.84012698088479,84.31361887254901,23.973783588900368,12.01436507936508,66.30802827380951,94.48797280415145,97.394043715847
3,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,75.96984111829025,82.19900608519269,21.523785074633217,1.892249735769289,67.77865242616033,94.34179035494196,96.82526315789472
3,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,76.69013114003819,85.10425438596491,23.105038075514134,1.408793975693435,68.20641242702251,94.49900223713647,97.2155
5,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,75.68044184295522,84.51798631239936,23.467756904099073,4.120404290873807,65.86577272727273,94.21392437304075,96.944554973822
5,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,863,77.9562429400591,82.81158878504674,19.178939903705395,16.48716802168022,72.58657088122605,94.22838725490196,97.02861111111112
5,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,78.11772911585412,87.13442642140467,21.74853211440297,15.63094827586207,71.1507105674128,94.46083333333335,97.14123711340208
3,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,18.862546478717597,16.1141579449758,12.071753662825598,3.2207672442534174,8.973539370922374,27.70614348573403,51.5145338719594
3,plaintext,broker_cpu_percent_mean,Broker CPU mean %,862,24.187425268208713,24.112873268181115,6.953821860508898,8.56043141109655,19.06873505555114,29.035202588425857,43.37438855467422
3,tls,broker_cpu_percent_mean,Broker CPU mean %,863,21.467824166448413,18.725381916919677,12.063440944994776,3.2852559333624813,11.448461383864226,30.722258007223466,53.106661975181055
5,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,25.82982364421637,22.98342821032925,14.894435831443479,5.304695432382422,13.416187225868898,37.23028183967401,58.35175110594206
5,plaintext,broker_cpu_percent_mean,Broker CPU mean %,864,33.21353566679129,33.627793503391935,10.047582802979615,14.833636197084145,23.8935955254097,40.184005382186996,56.61478827598951
5,tls,broker_cpu_percent_mean,Broker CPU mean %,864,28.4425616125645,24.95422801889751,14.615809958548892,8.130579155257617,15.885894097012612,39.97298482923172,59.82172628523237
3,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,44.18331172839507,40.481,19.56863075291094,10.088,27.28333333333333,60.909333333333336,92.07333333333332
3,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,862,47.700630317092035,44.132999999999996,13.040212889653889,18.358,37.6525,58.647666666666666,84.33999999999999
3,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,863,47.488254538431825,45.36666666666667,18.961500016533904,11.28,31.314666666666668,62.648333333333326,91.62
5,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,56.67558564814816,57.684,21.482568694253313,17.45,35.546,75.5825,97.168
5,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,864,59.331009259259254,56.455,16.17069715136071,23.822,46.442499999999995,72.4925,95.458
5,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,57.36719444444444,59.92100000000001,20.594335375183263,19.288,38.273,75.126,97.842
3,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,19.17050186837948,16.834834156669032,9.80152212388072,7.583043478260869,10.97479995444883,24.721663403390494,49.515300546448096
3,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,17.808531406814858,15.480097402597401,7.37488787675292,9.14377170466556,11.30564484126984,22.307229065959774,38.66838150289017
3,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,19.88395641825355,16.921935331825033,9.773696073441203,8.407913931186195,11.665658602150536,25.283711622807022,49.91972375690607
5,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,18.87189200900798,15.790129310344827,9.794786500162528,7.758363430542827,10.766492685345897,24.51667207792208,49.64408602150537
5,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,863,17.90995096800961,16.23298076923077,7.53820650659768,8.925108401084012,11.431781499202552,22.580788181371744,39.27390804597701
5,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,19.86209434328623,16.852853405155827,9.741836408702522,9.439583333333331,11.379336762422358,25.251060352740623,50.044405940594054
3,mtls,broker_memory_used_percent_mean,Broker memory %,864,22.8571198875178,23.08689048572768,1.232239825821936,12.408526294990724,22.567683322074966,23.458914311469805,24.35001970105579
3,plaintext,broker_memory_used_percent_mean,Broker memory %,862,22.99435659454649,23.0986361207418,0.7716635923059745,12.832862211760968,23.003619174617935,23.235230055974334,23.76892949839475
3,tls,broker_memory_used_percent_mean,Broker memory %,863,22.739364898674705,23.20627795806334,1.3227434116043895,12.689896058735837,22.84098056561392,23.424728472362865,24.22361967975596
5,mtls,broker_memory_used_percent_mean,Broker memory %,864,23.574677577265994,23.627075651540125,0.30550801026304963,22.96281761904762,23.292674629326317,23.782479626707108,24.93820518145855
5,plaintext,broker_memory_used_percent_mean,Broker memory %,864,23.824748977106438,23.905777630928206,0.2439779377914383,23.271065536257098,23.568101319460702,24.002027757317254,24.83018833071431
5,tls,broker_memory_used_percent_mean,Broker memory %,864,23.882782950849325,23.858778678056787,0.22269403360512113,23.456653267292587,23.751543877447215,23.939389109114344,25.11084886931466
3,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,21933021.365740743,22968865.5,15022199.180833358,649429.0,4994204.0,38032414.25,47157457.0
3,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,17738015.18287037,18712353.5,12207737.67021365,325067.0,3454531.25,30289161.0,34476212.0
3,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,21612503.010416668,22559609.0,14899950.997861965,589965.0,4977843.5,37586073.0,59602216.0
5,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,22774444.068287037,25983739.0,15415207.891065814,645808.0,5090015.75,38256431.0,85183486.0
5,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,863,18338029.98377752,21520523.0,12561275.384827306,360361.0,3334093.5,31678589.5,37888000.0
5,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,22364396.59837963,25977474.5,15301085.04192772,633911.0,5001633.25,37993757.75,45218446.0
3,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3861536764.4259257,1071219025.0,4639193058.743978,104877612.0,139860685.75,10395424477.0,10422703994.0
3,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3839158248.1377316,1055479223.0,4621885186.444166,104343590.0,124524325.75,10349454242.0,10377503947.0
3,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3861896451.8171296,1069988289.5,4639982352.381857,104768322.0,139077954.5,10395742621.0,10430845184.0
5,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3877742758.6574073,1076588699.0,4674045004.7333145,104995989.0,139339399.25,10401418675.5,20803907662.0
5,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,863,3845286720.6384706,1059739631.0,4625881276.803087,104388389.0,124276374.0,10353663669.5,10388416306.0
5,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3865180460.6678243,1074242473.0,4643993713.261715,104888301.0,137425761.0,10401582880.25,10440344176.0
3,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3080724161.017361,848025486.5,3886018823.8527794,63100372.8,111731728.75000001,6246125011.5,10426048931.666666
3,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,862,3056424424.7094355,646196426.3,3855366329.7378063,62721307.8,107584326.58333334,6207635383.0,10349151199.666666
3,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,863,3083561380.224449,656461475.4,3888520135.3250012,63015116.4,113183121.83333334,6245709558.7,10424855738.0
5,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3862307279.5902777,1073464482.9000001,4652934390.027835,105057537.6,144088812.75,10413310082.25,20865416273.0
5,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3826206835.2951393,1062028287.0999999,4597962157.255209,104457134.2,133376944.4,10347672262.35,10359020931.4
5,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,3854857752.035416,1071792502.0,4627967661.037207,104999524.8,142129721.7,10412979134.65,10419640017.0
3,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,2065992791.4750774,573385841.0,2599037294.3823376,42488890.4,77176683.08333333,4191298816.35,6999729989.333333
3,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,862,2043108077.4322507,442948073.4,2570868165.934948,42081991.0,73360078.41666667,4156559541.6000004,6931924948.333333
3,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,863,2067742545.824681,449514525.4,2600515710.1482983,42380876.4,78654133.83333334,4190413465.7,6998394561.666667
5,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,3102924590.9858794,868863449.4,3732595773.9127316,84553284.0,124741504.45,8366394918.299999,16778933534.6
5,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,3071106695.5728006,860040550.4000001,3684096145.708016,83899826.6,115274205.55,8303568926.95,8316650711.2
5,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,3097851784.8810186,867201165.4,3713222959.53181,84490098.0,122739946.35,8365835847.6,8372580494.8
3,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,11562609741.980324,3216206539.5,13884649005.327456,314611641.0,432506015.75,31219738069.0,31278146795.0
3,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,862,11478802869.692575,3185151985.5,13790454357.936844,313046022.0,398702378.0,31032929378.0,31062472155.0
3,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,863,11561369820.286211,3213910279.0,13878955638.256474,314480664.0,428991892.0,31219001828.0,31274567214.0
5,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,19311536397.95139,5367322414.5,23264671950.13917,525287688.0,720444063.75,52066550411.25,104327081365.0
5,plaintext,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,19127425380.87847,5310141435.5,22992242425.726246,522285671.0,666884722.0,51738361311.75,51795104657.0
5,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,19274288760.177082,5358962510.0,23139838305.18603,524997624.0,710648608.5,52064895673.25,52098200085.0
3,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,7757825197.96412,2183674808.5,9294364884.923103,211416566.0,327167135.0,20939774540.75,20999189968.0
3,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,862,7678632195.532482,2160865611.0,9207307620.730612,209739340.0,300671913.0,20773968163.0,20795774845.0
3,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,863,7756181064.0787945,2180692805.0,9289776205.760624,211299260.0,323573270.5,20936389489.5,20995183685.0
5,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,15514622954.929398,4344317247.0,18662978869.56366,422766420.0,623707522.25,41831974591.5,83894667673.0
5,plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,15351926140.362268,4299821073.5,18422775265.071655,419499133.0,576371027.75,41517844634.75,41583253556.0
5,tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,15489258924.405092,4336005827.0,18566114797.65905,422450490.0,613699731.75,41829179238.0,41862902474.0
3,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,289.19444444444446,0.0,8384.329526583477,0.0,0.0,0.0,246584.0
3,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,50.55671296296296,0.0,968.0985283908495,0.0,0.0,0.0,24609.0
3,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,109.00925925925925,0.0,2405.960041674942,0.0,0.0,0.0,69560.0
5,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,4.37962962962963,0.0,65.31408695999954,0.0,0.0,0.0,1288.0
5,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,863,161.88180764774043,0.0,3578.096665777193,0.0,0.0,0.0,102536.0
