throughput_limit_records_per_sec,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1000,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,863,73.7492655680637,82.00610619469028,24.82706407629166,16.004727272727273,60.88388888888889,94.68408856469202,96.81370786516854
1000,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,72.27704935199424,85.98369409937888,28.111423440675193,1.408793975693435,59.10264779202279,94.78319010416668,97.0655617977528
10000,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,81.4194835328061,85.97912954545455,14.115860613340775,4.120404290873807,74.7448018292683,92.45035898169337,97.394043715847
10000,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,80.17194930351252,82.78613922010958,14.013132689786497,1.892249735769289,73.92307692307692,90.56352650625979,97.02861111111112
10000,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,82.53081090389809,86.79932222222223,12.84673152011275,42.238076923076925,75.83345588235294,92.83735481852317,97.2155
1000,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,22.665486922957623,18.399987322131643,12.644280369180628,4.620043245014176,13.286623044151623,30.420583506530296,57.77664313795333
1000,plaintext,broker_cpu_percent_mean,Broker CPU mean %,863,29.44872202179468,28.55486307885461,8.418186134915526,8.56043141109655,22.974667741506696,35.07267613296521,50.997352195312374
1000,tls,broker_cpu_percent_mean,Broker CPU mean %,863,25.217192005611075,21.473529131292132,12.456251453017437,6.105952992968557,15.509334120043356,33.5830176821209,59.026792558078526
10000,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,22.026883199976332,19.597580588978474,15.223705113126094,3.2207672442534174,8.004274431175363,34.001218610303894,58.35175110594206
10000,plaintext,broker_cpu_percent_mean,Broker CPU mean %,863,27.962697905555938,25.678760543310432,10.869029163752826,8.895138334687491,19.068993245178607,36.11996071065767,56.61478827598951
10000,tls,broker_cpu_percent_mean,Broker CPU mean %,864,24.697533319511972,22.17391891713074,15.105492649497533,3.2852559333624813,11.239950721701904,36.11530906396387,59.82172628523237
1000,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,47.49816743827161,42.083,19.986238157788602,18.206,29.88,65.62299999999999,95.518
