record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
102400,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,6734423611.133334,6248705781.0,1609647243.715962,6247107199.8,6247683758.150001,6250347562.6,12073015522.2
1024,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,69016627.91666666,69053497.7,65449.05502722383,68916588.6,68947151.64999999,69074793.6,69085335.2
1024,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,67408323.35,67402318.8,75377.797898725,67272970.8,67349857.30000001,67475248.55,67515423.4
1024,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,68878762.73333333,68885601.30000001,70582.89332108434,68727665.8,68834800.9,68941619.39999999,68956806.2
102400,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,6319944865.516666,6320360833.200001,1355807.6119610188,6317628394.8,6318572853.549999,6321062791.3,6321718698.4
102400,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,6271246692.150001,6271342640.3,833439.3840531162,6269645891.6,6270559163.1,6271966593.900001,6272231491.0
102400,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,6823685897.0,6320810128.4,1666545646.4204643,6319579281.6,6319864986.05,6322457745.049999,12350989435.2
1024,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,1.3333333333333333,0.0,4.422166387140533,0.0,0.0,0.0,16.0
102400,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102400,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102400,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,39030.0,35072.0,11459.39061788773,27496.0,28672.0,48844.0,64640.0
1024,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,32312.0,30536.0,5863.776257668773,25728.0,28356.0,33196.0,46272.0
1024,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,32460.666666666668,30400.0,5856.3410268035295,26512.0,27908.0,36716.0,42976.0
102400,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,38366.0,39940.0,7197.565606972032,27304.0,32418.0,43956.0,49688.0
102400,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,30453.333333333332,29648.0,5854.93190016379,20424.0,26020.0,34352.0,40976.0
102400,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,35082.666666666664,30188.0,11893.188339923356,25408.0,28592.0,34044.0,64920.0
