acks,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
all,plaintext,broker_cpu_percent_mean,Broker CPU mean %,862,28.94070856035848,27.346459423256483,9.985159821998774,8.56043141109655,20.74030975169489,35.9894775925729,56.61478827598951
all,tls,broker_cpu_percent_mean,Broker CPU mean %,864,24.99212517248398,21.80327767161168,13.894429460048462,3.2852559333624813,13.263086179296753,35.166037300842504,59.326392290124886
1,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,50.72137114197531,47.47633333333333,21.788265002166657,10.508,30.939333333333334,69.591,97.168
1,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,864,53.49217283950617,51.83766666666667,15.768205622892083,18.404,41.17,64.049,95.458
1,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,863,52.56391657010429,50.164,20.896854317527293,11.28,33.714,70.71733333333333,97.842
all,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,50.13752623456791,46.953,21.15565153446149,10.088,30.355999999999998,70.75,90.404
all,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,862,53.55301392111369,51.593,15.83166099907878,18.358,40.8805,64.65549999999999,90.892
all,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,52.29740702160493,49.347,19.894945916860948,12.803333333333333,34.1495,71.30316666666667,91.266
1,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,18.905184788567883,16.404553571428572,9.760012167601367,7.583043478260869,10.804983811936937,24.32907342657343,49.64408602150537
1,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,17.749377114454724,15.94669871794872,7.348826650718869,8.925108401084012,11.307585963674837,22.186288135593216,38.236914285714285
1,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,19.73285501285573,16.847521739130435,9.665167638415873,8.407913931186195,11.540951991956764,24.92509479717813,49.75276381909547
all,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,19.13720908881957,16.52027635460332,9.837047692426111,7.588148148148148,10.9275,24.78933115230825,49.52389473684211
all,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,863,17.969173805320338,15.732708333333331,7.562386969956837,9.14377170466556,11.44908573750508,22.741302350427354,39.27390804597701
all,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,20.013195748684048,16.99381176565265,9.84753723437079,9.314230769230768,11.553961315509287,25.570014611872146,50.044405940594054
1,mtls,broker_memory_used_percent_mean,Broker memory %,864,23.139151782253126,23.410611082120212,1.2557276601613356,12.408526294990724,23.053278743039705,23.68264973771126,24.673199643536996
1,plaintext,broker_memory_used_percent_mean,Broker memory %,864,23.376113801874837,23.430632387484238,0.868640946213177,12.832862211760968,23.08838859009544,23.91025709902812,24.83018833071431
1,tls,broker_memory_used_percent_mean,Broker memory %,863,23.243110577583113,23.632743471582177,1.338533130870348,12.689896058735837,23.201469053508077,23.868902970536567,24.820706211697477
all,mtls,broker_memory_used_percent_mean,Broker memory %,864,23.292645682530672,23.443091557769826,0.5296815142417902,20.83898755666829,23.037938125908028,23.669564938948746,24.93820518145855
all,plaintext,broker_memory_used_percent_mean,Broker memory %,862,23.44403268665798,23.438793438058916,0.49163643750452046,20.91371054530265,23.10894430303574,23.90000642606028,24.255601212490685
all,tls,broker_memory_used_percent_mean,Broker memory %,864,23.379620310921133,23.623520474533407,0.8072374506802322,20.52815080858401,23.21094852441392,23.856766937462233,25.11084886931466
1,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,22639284.260416668,24385457.5,15485604.774178786,653906.0,5095404.5,38679631.75,85183486.0
1,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,18261618.443287037,20018494.5,12542277.085768526,325067.0,3435332.75,31165110.75,33412331.0
1,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,22273963.084490743,23553383.5,15303037.54350133,589965.0,5030019.25,38307639.5,59602216.0
all,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,22068181.173611112,23936934.0,14956004.28074424,645808.0,5041294.0,36418242.25,47157457.0
all,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,863,17813819.998841252,19734704.0,12230126.037184594,328900.0,3334093.5,29700230.0,37888000.0
all,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,21702936.524305556,23341245.5,14901960.32268145,613739.0,4962013.25,35458899.75,45218446.0
