record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
102400,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,8544.424354166666,8313.349999999999,6966.405131918663,129.06600000000006,352.6460000000001,16090.070000000007,19689.2
1024,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,8316.387847222217,6666.449999999975,7050.309534883191,127.59999999999778,1376.25,15659.3625,21468.6
1024,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,4052.4595486110993,3273.4499999999953,3698.2710247205023,80.99999999999872,650.9875,6804.4249999999665,11489.7
1024,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,7821.024218749995,6151.149999999985,6680.752643070244,111.099999999998,1305.9625,14954.9375,19898.4
10240,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,9265.401996527777,8862.275,7322.992412549838,167.19999999999732,1308.525,17427.1125,31667.5
10240,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,4464.566059027771,4324.275,3835.770856516948,90.8999999999988,692.5625,7439.875,14061.25
10240,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,8938.833940972218,8591.224999999999,7056.7557503970675,147.59999999999772,1240.6125,16393.162499999995,22227.049999999996
102400,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,7511.4053819444425,7294.074999999999,5633.399466052478,226.2999999999975,1039.2999999999993,13457.25,17352.999999999993
102400,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,1471.8296006944406,1264.249999999999,928.5920604480118,169.09999999999877,725.5499999999998,2093.599999999999,5120.199999999999
102400,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,576,7516.864670138887,7345.5,5704.375066431944,219.7999999999978,1004.7999999999993,13402.6375,17098.4
1024,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,9397.624184027778,8853.535,6978.219241401491,851.6400000000003,1394.96,16980.765000000003,21675.26
1024,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,5188.418298611111,4894.3099999999995,3854.9483584547547,466.96000000000015,668.1625,9397.915,12364.57
1024,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,8844.128715277779,8305.135,6586.505103389146,762.9000000000002,1313.2525,15796.737499999996,20651.47
10240,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,10154.660538194446,9406.835,7585.639817676716,956.3800000000005,1388.08,18624.100000000006,32155.5
10240,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,5288.855243055556,4932.09,4021.162287782343,428.4400000000001,732.275,9298.0725,15122.85
10240,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,9746.491041666666,9203.995,7315.964658877844,862.9200000000003,1305.7600000000002,17596.805,23625.090000000004
102400,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,9828.796805555556,9178.715,7237.60077542905,1035.2000000000005,1383.1549999999988,18331.255,26398.6
102400,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,4849.987777777777,4642.074999999999,3409.9755180705547,471.16,1062.44,8407.005,10564.360000000004
102400,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,576,9221.740798611112,8797.05,6797.952486253499,923.7800000000002,1309.705,16668.995,20208.549999999996
1024,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,66.83516779529235,76.95486111111111,26.697318501164425,12.01436507936508,53.58613636363636,88.24615740740741,95.96163793103447
1024,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,69.1104531322955,76.90633333333332,22.172876407985665,16.48716802168022,54.14041666666667,84.9872564935065,96.21275862068966
1024,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,68.97295455320078,80.44637499999999,25.642233702394815,7.1586453786134125,56.459567099567096,88.44913893653516,95.81083333333336
10240,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,74.62464794802298,84.41536319073083,23.99642463205821,17.051081081081083,69.84728846153847,91.5385143442623,96.17146341463416
10240,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,575,75.08913898375197,83.459,20.487218310239673,1.892249735769289,68.39572274143302,89.52341930729551,96.53906779661015
10240,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,76.4150297955432,87.13317391304346,22.939900728552118,1.408793975693435,71.60792613636363,91.97989130434783,95.8879487179487
102400,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,85.82103749244467,94.8249415954416,14.747700003829246,4.120404290873807,75.77651217228464,95.92544641004358,97.394043715847
102400,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,86.6845563604413,94.9583512195122,13.366613026703838,42.82971962616822,77.90039075002667,95.80831578947368,97.02861111111112
102400,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,576,86.82380603509448,94.7513898715323,12.931904252242463,23.55452319587629,77.21572677322678,95.90625462962961,97.2155
1024,mtls,broker_cpu_percent_mean,Broker CPU mean %,576,9.673841369710875,8.567672365385587,4.477455921297207,3.2207672442534174,5.92059429351226,13.094930469900328,22.980016849709255
1024,plaintext,broker_cpu_percent_mean,Broker CPU mean %,576,21.855322155349914,20.628662065158686,5.070791175578972,13.372203296096,18.26325008526277,25.751065193049428,34.49840045192441
1024,tls,broker_cpu_percent_mean,Broker CPU mean %,576,12.472168078869394,12.248220396633481,4.674611269082355,3.2852559333624813,9.447841920300455,15.35213780670174,23.976045348303614
