compression_type,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
lz4,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,513.8900578703704,43.24,1441.947337380134,2.34,14.74,108.8275,9049.27
lz4,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1663.8214583333333,427.59000000000003,2540.535178917899,5.97,118.4025,1977.305,11985.65
none,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1602.5414351851853,420.81,2317.1876562069874,6.16,140.6175,2157.07,11795.72
none,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,453.3860879629629,51.754999999999995,1215.7337980174245,3.35,14.4375,148.1925,7586.26
none,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1633.6179629629628,417.46,2374.2841223129994,5.52,120.3375,2120.545,10665.82
lz4,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2068.336967592593,526.31,2972.428684627031,6.04,172.28750000000002,2875.415,13905.85
lz4,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,617.22125,52.475,1585.5276171030116,2.34,17.1475,165.28,9582.54
lz4,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2088.4625694444444,535.46,3025.9779430309527,5.97,139.845,2911.2875,13959.67
none,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2036.265925925926,527.9749999999999,2881.0331783681245,6.16,174.5325,2909.3325,12662.86
none,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,565.5497569444444,82.96000000000001,1363.13031641535,3.35,18.27,233.4775,8296.07
none,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2051.1593055555554,544.35,2922.3234851733673,5.52,140.04250000000002,2917.575,12479.98
lz4,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6475.566880787034,4935.02,6229.877020872215,8.299999999999908,361.3124999999999,10051.282500000001,31667.5
lz4,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,2399.9265451388833,356.6574999999998,3547.0454726182807,4.01,43.36874999999998,4571.183749999887,12560.27
lz4,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6422.118368055553,5007.470000000001,6115.374035697866,8.169999999999915,365.51875,10446.966250000001,20172.654999999995
none,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6251.942390046293,4742.0599999999995,6023.06819177247,8.679999999999902,343.4325,10053.16875,21115.4
none,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,2413.2167476851796,577.9125,3332.3903182928184,4.379999999999996,41.85124999999995,4319.5362499998955,12327.325
none,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6286.3954050925895,5090.635,5956.2725430933715,7.389999999999932,352.94874999999973,10648.899999999998,19770.999999999993
