compression_type,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
none,tls,broker_memory_used_percent_mean,Broker memory %,12,23.988696059759448,24.033372465294452,0.10859589209524119,23.74155078490283,23.910196467921583,24.050586863225938,24.122119354197345
lz4,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,5387175982.333333,5385933884.5,5275898516.120983,111231760.0,111293715.0,10662607961.5,10665821078.0
lz4,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,5346511478.166667,5346460255.5,5237248678.029994,109169597.0,109255597.0,10583701312.25,10584119404.0
lz4,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,6282622544.75,5388409995.0,6784486612.527601,111036633.0,111163138.0,10673450240.25,21365926820.0
none,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,5384693397.666667,5381805829.5,5273615003.4642315,111021625.0,111079442.25,10658136953.5,10662330414.0
none,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,5345408586.583333,5345215081.0,5236394061.711609,108954388.0,109028851.5,10581800227.75,10582180657.0
none,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,5389215544.916667,5388110115.5,5278264941.924772,110897453.0,110950009.25,10666330278.25,10672450314.0
lz4,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,5263958324.916667,5263041905.0,5150882560.660841,113060367.0,113079368.75,10414829886.5,10416056961.0
lz4,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,5234749361.5,5233978472.0,5125822673.012616,108904486.0,108926617.25,10360556464.75,10361906272.0
lz4,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,6099917407.833333,5263135933.0,6544974726.638175,112709702.0,112765251.75,10415088418.25,20448065942.0
none,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,5261726717.25,5261083443.5,5148871128.538391,112818263.0,112865281.0,10410600694.25,10411773803.0
none,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,5233929670.666667,5232740694.0,5125172974.020391,108715473.0,108759566.25,10359709123.75,10360413353.0
none,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,5262495743.083333,5262203567.0,5149883507.820073,112569720.0,112624013.25,10412037773.25,10413374428.0
lz4,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3159267571.3500004,3159176692.8,3090643605.1569552,68613532.4,68622200.7,6249810005.95,6250145849.8
lz4,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3138686576.4,3138405597.4,3071923327.7481146,66741824.0,66765144.95,6210635959.75,6211006951.8
lz4,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3644879500.183333,3158935196.1000004,3891610703.6625013,68440740.2,68473814.85,6250347562.6,12073015522.2
none,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3158092418.8333335,3157651317.0,3089592823.360681,68466546.8,68492380.65,6247584614.9,6248700116.6
none,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3137970096.15,3137344192.1,3071332448.696269,66596940.4,66644424.3,6209497295.45,6209952570.8
none,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3157953841.35,3157743595.3,3089603957.663782,68270299.8,68368527.95,6247557679.25,6248037898.4
lz4,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3195111444.0499997,3194808805.9,3126036859.3985786,69062939.0,69076823.2,6321062791.3,6321718698.4
lz4,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3169744098.633333,3169594870.5,3102265552.2841206,67437433.6,67482596.45,6271966593.900001,6272231491.0
lz4,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3698209133.066667,3195047055.7999997,3961709937.3681965,68926011.2,68943763.0,6322457745.049999,12350989435.2
none,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3193850049.383333,3193336225.6,3124891440.7437577,68916588.6,68947151.64999999,6318531871.85,6320189389.8
none,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3168910916.8666663,3168506547.8,3101572834.775272,67272970.8,67349857.30000001,6270487242.9,6271010963.0
none,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3194355526.6666665,3194212236.5,3125540633.389977,68727665.8,68834800.9,6319859192.95,6320482951.4
lz4,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lz4,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lz4,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,1.3333333333333333,0.0,4.422166387140533,0.0,0.0,0.0,16.0
lz4,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,39260.666666666664,40136.0,7006.729305143417,28200.0,33758.0,44112.0,49024.0
lz4,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,32678.0,31004.0,6036.100396779364,25000.0,28356.0,35090.0,46272.0
lz4,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,37689.333333333336,33272.0,11647.75449985485,26576.0,28994.0,42730.0,64920.0
none,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,38135.333333333336,33080.0,11559.220946451751,27304.0,28562.0,45320.0,64640.0
none,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,30087.333333333332,30116.0,5531.829313667908,20424.0,26202.0,32000.0,40808.0
none,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,29854.0,28760.0,3579.901115952786,25408.0,27542.0,30994.0,39152.0
lz4,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,17602.666666666668,7335.2,34910.35913854543,0.0,0.0,16418.8,130515.2
lz4,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,21789.46666666667,10929.6,37383.603977977065,0.0,2.4000000000000004,24875.600000000002,139705.6
lz4,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,146930.93333333335,11941.6,343627.6718125917,0.0,6.0,26690.4,1213780.8
none,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,52643.86666666667,9012.0,122902.661510138,0.0,0.0,20484.4,450251.2
none,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,72229.99999999999,9052.8,191790.35126470777,0.0,2.4000000000000004,24810.0,704526.4
none,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,12066.0,12088.800000000001,11563.747934529416,0.0,214.0,22852.8,27062.4
lz4,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,6114975.2,6045627.2,5944300.65787811,160848.0,172951.6,12087678.8,12091417.6
lz4,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,6124804.533333334,6124834.4,5959213.688411175,162211.2,166488.0,12083794.4,12086236.8
lz4,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,7141548.533333334,6109846.4,7663522.700614673,162507.2,165152.0,12080378.4,24146040.0
none,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,6134077.600000001,6061483.199999999,5950934.575163132,164228.8,171960.8,12088735.6,12248601.6
none,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,6110017.2,6047357.6,5945646.88087944,162155.2,164512.0,12080738.4,12082502.4
none,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,6103905.199999999,6020002.4,5939389.926426698,162660.8,164012.4,12077042.4,12078881.6
