batch_size,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
16384,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9870.64829861111,9275.145,7326.406394979785,902.7600000000004,1394.0974999999999,18259.29,25159.609999999993
16384,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,5306.142638888888,4886.105,3921.429756872093,471.16,848.23,9417.977499999995,15122.85
16384,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9385.941574074073,8875.02,7030.316924987359,806.1800000000003,1353.4599999999998,16629.124999999996,23625.090000000004
131072,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9716.739386574072,9115.32,7228.491248541124,851.6400000000003,1373.9650000000001,17974.395,32155.5
131072,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,4912.031574074074,4704.845000000001,3613.0447780510767,428.4400000000001,686.0,9100.365000000003,11677.14
131072,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9155.63212962963,8709.810000000001,6799.53270946055,762.9000000000002,1256.6799999999998,16496.06,23335.4
16384,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,76.46508999521214,86.89669490254872,23.367751317356,4.120404290873807,65.61493819776715,94.32244565217393,97.394043715847
16384,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,77.99576647912056,83.54011923688395,19.5824342646202,1.892249735769289,70.61159048469595,94.34494566922076,96.8525568181818
16384,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,78.07117668320929,88.18667136150233,22.212753884858667,1.408793975693435,68.8705813242488,94.4797129707527,97.0655617977528
131072,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,75.05547882862787,83.65082491582493,24.050891041678337,6.7025289239275105,67.15978021978022,94.35871028887712,97.2302162162162
131072,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,863,75.92797004115137,81.61309734513274,21.155630634089032,16.004727272727273,68.693841991342,94.23219892473118,97.02861111111112
131072,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,76.73668357268303,85.56487318840578,22.66194123441607,7.1586453786134125,69.57574951267057,94.44401468085107,97.2155
16384,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,24.37759397961704,23.03209239038662,13.515425147319014,4.620043245014176,13.183302117198265,33.65170114401067,57.77664313795333
16384,plaintext,broker_cpu_percent_mean,Broker CPU mean %,862,30.920632748492892,29.712265395176047,9.22361975839125,14.833636197084145,23.411929347358424,37.58770959734055,55.406839761137505
16384,tls,broker_cpu_percent_mean,Broker CPU mean %,863,27.033604386294304,25.64739654364004,13.262294881618478,4.662557064704774,15.490320125152625,35.7941364640446,59.82172628523237
131072,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,20.314776143316923,15.965508601634111,14.1747299616292,3.2207672442534174,8.829370226994694,29.875306756167994,58.35175110594206
131072,plaintext,broker_cpu_percent_mean,Broker CPU mean %,864,26.495914314933696,24.679562980899412,9.75857597251418,8.56043141109655,19.610257087396995,31.048855489670487,56.61478827598951
131072,tls,broker_cpu_percent_mean,Broker CPU mean %,864,22.883223267973055,18.319628898918978,14.106620294108343,3.2852559333624813,12.081075736438754,33.62619957786376,59.29109343769285
16384,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,54.84991898148149,55.259,20.568139348601704,19.58,33.805166666666665,72.6325,96.594
16384,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,862,58.17521191028616,57.04233333333333,14.94576191906174,27.69,45.857,67.9565,95.458
16384,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,863,56.759375048281186,58.04,19.36620932847082,18.44333333333333,39.269000000000005,73.608,96.162
131072,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,46.00897839506173,40.363,21.45532683508588,10.088,27.6785,63.715,97.168
131072,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,864,48.88067438271605,45.6,15.254395109958388,18.358,38.0305,58.5445,91.97
131072,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,48.10680439814814,41.165,20.49364973686309,11.28,31.650000000000006,65.829,97.842
16384,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,20.77566578934419,17.150423728813557,11.205763405514293,7.583043478260869,11.259449230205279,27.62396711259756,49.64408602150537
16384,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,19.31974242089812,17.73036036036036,8.483497365538716,8.925108401084012,11.638863636363634,25.010305147058823,39.27390804597701
16384,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,21.701344394092043,17.542642195767176,11.237527278591683,8.918236029540036,12.252417623102554,28.823620689655172,50.044405940594054
131072,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,17.266728088043266,15.627054507337524,7.767033349778888,7.588148148148148,10.501146833503565,22.049507296552754,38.476630434782635
131072,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,863,16.396988840352673,14.987272727272726,5.9122633384326955,9.386833333333334,11.198085619535725,20.71630078477672,31.9304469273743
131072,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,864,18.044706367447734,16.312172679827547,7.580318618570077,8.407913931186195,11.25092025206432,22.36409836065574,38.935531914893616
16384,mtls,broker_memory_used_percent_mean,Broker memory %,864,23.064280656930595,23.383762483620032,1.2668370142311147,12.408526294990724,23.001452888970597,23.62870637583292,24.664858875848157
16384,plaintext,broker_memory_used_percent_mean,Broker memory %,862,23.350791113994838,23.42387409494892,0.8944292318266585,12.832862211760968,23.074880739826604,23.891232029085003,24.699011219837537
16384,tls,broker_memory_used_percent_mean,Broker memory %,863,23.155241974237708,23.59788402323594,1.3508597872109982,12.689896058735837,23.1340495372174,23.831531771606155,24.820706211697477
131072,mtls,broker_memory_used_percent_mean,Broker memory %,864,23.367516807853203,23.47369236214344,0.4672713874139537,22.290495859239265,23.106391894461243,23.726229598657458,24.93820518145855
131072,plaintext,broker_memory_used_percent_mean,Broker memory %,864,23.46913953756422,23.456441963097035,0.4391365837710316,21.84058388592517,23.12705465186987,23.921730091818226,24.83018833071431
131072,tls,broker_memory_used_percent_mean,Broker memory %,864,23.467387214494153,23.689704027198857,0.7610140545218248,20.841912738054596,23.2419948660241,23.896728609734975,25.11084886931466
16384,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,25310149.515046295,27841418.5,13671999.000308989,1653826.0,18975678.75,38004749.25,43286341.0
16384,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,20723071.659722224,24781406.5,11234413.43309534,1119121.0,14907356.5,30271723.75,34476212.0
16384,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,25030566.354166668,27583295.0,13601373.129092915,1555565.0,18639331.75,37635731.75,42628226.0
131072,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,19397315.91898148,19177603.0,16101078.889433526,645808.0,4758792.5,38195292.25,85183486.0
131072,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,863,15349514.577056779,15761716.0,12898181.555119643,325067.0,2920262.0,30863446.5,37888000.0
131072,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,864,18946333.25462963,17887908.0,15903085.17179104,589965.0,4587364.25,37942396.25,59602216.0
16384,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3869338907.5347223,1084806743.0,4637213570.486202,106746225.0,140207917.25,10396631253.5,10446080526.0
16384,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3843960485.9930553,1063672439.5,4620197441.859699,105370099.0,124524325.75,10350112350.5,10371403500.0
16384,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,864,3869333955.9872684,1084843983.5,4637683286.711329,106652725.0,139235471.75,10397219323.0,10432070096.0
